requested_mean_accuracy_pct	read_depth	truth_asv	simulated_reads	realized_read_fraction	mapping_derived_expected_fraction
96	1318	Lactobacillus_2;size=1	39	0.029590288	0.026139039
96	1318	Lactobacillus_3;size=1	53	0.040212443	0.041561596
96	1318	Lactobacillus_4;size=1	55	0.041729894	0.037088370
96	1318	Lactobacillus_5;size=1	51	0.038694992	0.036662349
96	1318	Listeria_1;size=1	46	0.034901366	0.034998090
96	1318	Pseudomonas_1_2_3_4;size=1	21	0.015933232	0.014259479
96	1318	Salmonella_7;size=1	14	0.010622155	0.010762062
96	1318	Staphylococcus_2;size=1	38	0.028831563	0.034441201
96	1318	Staphylococcus_3;size=1	42	0.031866464	0.033490437
96	5792	Salmonella_5;size=5	307	0.053004144	0.053494860
96	5792	Enterococcus_4;size=4	725	0.125172652	0.119606589
96	5792	Staphylococcus_4;size=4	827	0.142783149	0.145715373
96	5792	Bacillus_4_5;size=3	297	0.051277624	0.052407473
96	5792	Bacillus_7;size=2	180	0.031077348	0.032354825
96	5792	Escherichia_5;size=2	101	0.017437845	0.015738787
96	5792	Listeria_2_5;size=2	485	0.083736188	0.082763194
96	5792	Listeria_6;size=2	336	0.058011050	0.057876999
96	5792	Bacillus_1;size=1	92	0.015883978	0.017421939
96	5792	Bacillus_3;size=1	101	0.017437845	0.017481012
96	5792	Bacillus_8;size=1	182	0.031422652	0.034161582
96	5792	Bacillus_9;size=1	175	0.030214088	0.030173660
96	5792	Escherichia_1;size=1	63	0.010877072	0.010620732
96	5792	Escherichia_2;size=1	47	0.008114641	0.007943996
96	5792	Escherichia_4;size=1	55	0.009495856	0.008495828
96	5792	Escherichia_6;size=1	41	0.007078729	0.008443602
96	5792	Escherichia_7;size=1	73	0.012603591	0.010053384
96	5792	Lactobacillus_1;size=1	143	0.024689227	0.025843540
96	5792	Lactobacillus_2;size=1	159	0.027451657	0.026139039
96	5792	Lactobacillus_3;size=1	232	0.040055249	0.041561596
96	5792	Lactobacillus_4;size=1	216	0.037292818	0.037088370
96	5792	Lactobacillus_5;size=1	213	0.036774862	0.036662349
96	5792	Listeria_1;size=1	185	0.031940608	0.034998090
96	5792	Pseudomonas_1_2_3_4;size=1	103	0.017783149	0.014259479
96	5792	Salmonella_7;size=1	57	0.009841160	0.010762062
96	5792	Staphylococcus_2;size=1	197	0.034012431	0.034441201
96	5792	Staphylococcus_3;size=1	200	0.034530387	0.033490437
96	25450	Salmonella_5;size=5	1352	0.053123772	0.053494860
96	25450	Enterococcus_4;size=4	3004	0.118035363	0.119606589
96	25450	Staphylococcus_4;size=4	3670	0.144204322	0.145715373
96	25450	Bacillus_4_5;size=3	1308	0.051394892	0.052407473
96	25450	Bacillus_7;size=2	781	0.030687623	0.032354825
96	25450	Escherichia_5;size=2	422	0.016581532	0.015738787
96	25450	Listeria_2_5;size=2	2113	0.083025540	0.082763194
96	25450	Listeria_6;size=2	1463	0.057485265	0.057876999
96	25450	Bacillus_1;size=1	419	0.016463654	0.017421939
96	25450	Bacillus_3;size=1	452	0.017760314	0.017481012
96	25450	Bacillus_8;size=1	891	0.035009823	0.034161582
96	25450	Bacillus_9;size=1	737	0.028958743	0.030173660
96	25450	Escherichia_1;size=1	285	0.011198428	0.010620732
96	25450	Escherichia_2;size=1	201	0.007897839	0.007943996
96	25450	Escherichia_4;size=1	228	0.008958743	0.008495828
96	25450	Escherichia_6;size=1	203	0.007976424	0.008443602
96	25450	Escherichia_7;size=1	299	0.011748527	0.010053384
96	25450	Lactobacillus_1;size=1	637	0.025029470	0.025843540
96	25450	Lactobacillus_2;size=1	672	0.026404715	0.026139039
96	25450	Lactobacillus_3;size=1	1092	0.042907662	0.041561596
96	25450	Lactobacillus_4;size=1	927	0.036424361	0.037088370
96	25450	Lactobacillus_5;size=1	949	0.037288802	0.036662349
96	25450	Listeria_1;size=1	884	0.034734774	0.034998090
96	25450	Pseudomonas_1_2_3_4;size=1	407	0.015992141	0.014259479
96	25450	Salmonella_7;size=1	297	0.011669941	0.010762062
96	25450	Staphylococcus_2;size=1	867	0.034066798	0.034441201
96	25450	Staphylococcus_3;size=1	890	0.034970530	0.033490437
96	111828	Salmonella_5;size=5	5982	0.053492864	0.053494860
96	111828	Enterococcus_4;size=4	13326	0.119165146	0.119606589
96	111828	Staphylococcus_4;size=4	16327	0.146001002	0.145715373
96	111828	Bacillus_4_5;size=3	5859	0.052392961	0.052407473
96	111828	Bacillus_7;size=2	3468	0.031011911	0.032354825
96	111828	Escherichia_5;size=2	1823	0.016301821	0.015738787
96	111828	Listeria_2_5;size=2	9291	0.083082949	0.082763194
96	111828	Listeria_6;size=2	6578	0.058822477	0.057876999
96	111828	Bacillus_1;size=1	1944	0.017383839	0.017421939
96	111828	Bacillus_3;size=1	1938	0.017330186	0.017481012
96	111828	Bacillus_8;size=1	3918	0.035035948	0.034161582
96	111828	Bacillus_9;size=1	3335	0.029822585	0.030173660
96	111828	Escherichia_1;size=1	1226	0.010963265	0.010620732
96	111828	Escherichia_2;size=1	950	0.008495189	0.007943996
96	111828	Escherichia_4;size=1	948	0.008477304	0.008495828
96	111828	Escherichia_6;size=1	972	0.008691920	0.008443602
96	111828	Escherichia_7;size=1	1166	0.010426727	0.010053384
96	111828	Lactobacillus_1;size=1	2806	0.025092106	0.025843540
96	111828	Lactobacillus_2;size=1	2905	0.025977394	0.026139039
96	111828	Lactobacillus_3;size=1	4570	0.040866330	0.041561596
96	111828	Lactobacillus_4;size=1	4054	0.036252101	0.037088370
96	111828	Lactobacillus_5;size=1	4027	0.036010659	0.036662349
96	111828	Listeria_1;size=1	3971	0.035509890	0.034998090
96	111828	Pseudomonas_1_2_3_4;size=1	1724	0.015416533	0.014259479
96	111828	Salmonella_7;size=1	1222	0.010927496	0.010762062
96	111828	Staphylococcus_2;size=1	3784	0.033837679	0.034441201
96	111828	Staphylococcus_3;size=1	3714	0.033211718	0.033490437
97	300	Salmonella_5;size=5	17	0.056666667	0.053494860
97	300	Enterococcus_4;size=4	37	0.123333333	0.119606589
97	300	Staphylococcus_4;size=4	43	0.143333333	0.145715373
97	300	Bacillus_4_5;size=3	10	0.033333333	0.052407473
97	300	Bacillus_7;size=2	11	0.036666667	0.032354825
97	300	Escherichia_5;size=2	6	0.020000000	0.015738787
97	300	Listeria_2_5;size=2	16	0.053333333	0.082763194
97	300	Listeria_6;size=2	23	0.076666667	0.057876999
97	300	Bacillus_1;size=1	5	0.016666667	0.017421939
97	300	Bacillus_3;size=1	4	0.013333333	0.017481012
97	300	Bacillus_8;size=1	10	0.033333333	0.034161582
97	300	Bacillus_9;size=1	13	0.043333333	0.030173660
97	300	Escherichia_1;size=1	3	0.010000000	0.010620732
97	300	Escherichia_2;size=1	2	0.006666667	0.007943996
97	300	Escherichia_4;size=1	6	0.020000000	0.008495828
97	300	Escherichia_6;size=1	7	0.023333333	0.008443602
97	300	Escherichia_7;size=1	4	0.013333333	0.010053384
97	300	Lactobacillus_1;size=1	6	0.020000000	0.025843540
97	300	Lactobacillus_2;size=1	7	0.023333333	0.026139039
97	300	Lactobacillus_3;size=1	14	0.046666667	0.041561596
97	300	Lactobacillus_4;size=1	5	0.016666667	0.037088370
97	300	Lactobacillus_5;size=1	13	0.043333333	0.036662349
97	300	Listeria_1;size=1	7	0.023333333	0.034998090
97	300	Pseudomonas_1_2_3_4;size=1	5	0.016666667	0.014259479
97	300	Salmonella_7;size=1	7	0.023333333	0.010762062
97	300	Staphylococcus_2;size=1	8	0.026666667	0.034441201
97	300	Staphylococcus_3;size=1	11	0.036666667	0.033490437
97	1318	Salmonella_5;size=5	60	0.045523520	0.053494860
97	1318	Enterococcus_4;size=4	166	0.125948407	0.119606589
97	1318	Staphylococcus_4;size=4	185	0.140364188	0.145715373
97	1318	Bacillus_4_5;size=3	68	0.051593323	0.052407473
97	1318	Bacillus_7;size=2	44	0.033383915	0.032354825
97	1318	Escherichia_5;size=2	16	0.012139605	0.015738787
97	1318	Listeria_2_5;size=2	98	0.074355083	0.082763194
97	1318	Listeria_6;size=2	93	0.070561457	0.057876999
97	1318	Bacillus_1;size=1	26	0.019726859	0.017421939
97	1318	Bacillus_3;size=1	29	0.022003035	0.017481012
97	1318	Bacillus_8;size=1	50	0.037936267	0.034161582
97	1318	Bacillus_9;size=1	41	0.031107739	0.030173660
97	1318	Escherichia_1;size=1	18	0.013657056	0.010620732
97	1318	Escherichia_2;size=1	9	0.006828528	0.007943996
97	1318	Escherichia_4;size=1	17	0.012898331	0.008495828
97	1318	Escherichia_6;size=1	9	0.006828528	0.008443602
97	1318	Escherichia_7;size=1	15	0.011380880	0.010053384
97	1318	Lactobacillus_1;size=1	30	0.022761760	0.025843540
97	1318	Lactobacillus_2;size=1	33	0.025037936	0.026139039
97	1318	Lactobacillus_3;size=1	51	0.038694992	0.041561596
97	1318	Lactobacillus_4;size=1	34	0.025796662	0.037088370
97	1318	Lactobacillus_5;size=1	55	0.041729894	0.036662349
97	1318	Listeria_1;size=1	43	0.032625190	0.034998090
97	1318	Pseudomonas_1_2_3_4;size=1	25	0.018968134	0.014259479
97	1318	Salmonella_7;size=1	18	0.013657056	0.010762062
97	1318	Staphylococcus_2;size=1	41	0.031107739	0.034441201
97	1318	Staphylococcus_3;size=1	44	0.033383915	0.033490437
97	5792	Salmonella_5;size=5	273	0.047133978	0.053494860
97	5792	Enterococcus_4;size=4	696	0.120165746	0.119606589
97	5792	Staphylococcus_4;size=4	852	0.147099448	0.145715373
97	5792	Bacillus_4_5;size=3	293	0.050587017	0.052407473
97	5792	Bacillus_7;size=2	203	0.035048343	0.032354825
97	5792	Escherichia_5;size=2	79	0.013639503	0.015738787
97	5792	Listeria_2_5;size=2	462	0.079765193	0.082763194
97	5792	Listeria_6;size=2	353	0.060946133	0.057876999
97	5792	Bacillus_1;size=1	104	0.017955801	0.017421939
97	5792	Bacillus_3;size=1	103	0.017783149	0.017481012
97	5792	Bacillus_8;size=1	185	0.031940608	0.034161582
97	5792	Bacillus_9;size=1	181	0.031250000	0.030173660
97	5792	Escherichia_1;size=1	55	0.009495856	0.010620732
97	5792	Escherichia_2;size=1	48	0.008287293	0.007943996
97	5792	Escherichia_4;size=1	52	0.008977901	0.008495828
97	5792	Escherichia_6;size=1	50	0.008632597	0.008443602
97	5792	Escherichia_7;size=1	71	0.012258287	0.010053384
97	5792	Lactobacillus_1;size=1	142	0.024516575	0.025843540
97	5792	Lactobacillus_2;size=1	130	0.022444751	0.026139039
97	5792	Lactobacillus_3;size=1	252	0.043508287	0.041561596
97	5792	Lactobacillus_4;size=1	210	0.036256906	0.037088370
97	5792	Lactobacillus_5;size=1	240	0.041436464	0.036662349
97	5792	Listeria_1;size=1	208	0.035911602	0.034998090
97	5792	Pseudomonas_1_2_3_4;size=1	82	0.014157459	0.014259479
97	5792	Salmonella_7;size=1	68	0.011740331	0.010762062
97	5792	Staphylococcus_2;size=1	202	0.034875691	0.034441201
97	5792	Staphylococcus_3;size=1	198	0.034185083	0.033490437
97	25450	Salmonella_5;size=5	1366	0.053673870	0.053494860
97	25450	Enterococcus_4;size=4	3014	0.118428291	0.119606589
97	25450	Staphylococcus_4;size=4	3646	0.143261297	0.145715373
97	25450	Bacillus_4_5;size=3	1336	0.052495088	0.052407473
97	25450	Bacillus_7;size=2	873	0.034302554	0.032354825
97	25450	Escherichia_5;size=2	393	0.015442043	0.015738787
97	25450	Listeria_2_5;size=2	2121	0.083339882	0.082763194
97	25450	Listeria_6;size=2	1529	0.060078585	0.057876999
97	25450	Bacillus_1;size=1	474	0.018624754	0.017421939
97	25450	Bacillus_3;size=1	447	0.017563851	0.017481012
97	25450	Bacillus_8;size=1	821	0.032259332	0.034161582
97	25450	Bacillus_9;size=1	779	0.030609037	0.030173660
97	25450	Escherichia_1;size=1	277	0.010884086	0.010620732
97	25450	Escherichia_2;size=1	216	0.008487230	0.007943996
97	25450	Escherichia_4;size=1	233	0.009155206	0.008495828
97	25450	Escherichia_6;size=1	190	0.007465619	0.008443602
97	25450	Escherichia_7;size=1	270	0.010609037	0.010053384
97	25450	Lactobacillus_1;size=1	626	0.024597250	0.025843540
97	25450	Lactobacillus_2;size=1	626	0.024597250	0.026139039
97	25450	Lactobacillus_3;size=1	1097	0.043104126	0.041561596
97	25450	Lactobacillus_4;size=1	909	0.035717092	0.037088370
97	25450	Lactobacillus_5;size=1	897	0.035245580	0.036662349
97	25450	Listeria_1;size=1	903	0.035481336	0.034998090
97	25450	Pseudomonas_1_2_3_4;size=1	375	0.014734774	0.014259479
97	25450	Salmonella_7;size=1	277	0.010884086	0.010762062
97	25450	Staphylococcus_2;size=1	900	0.035363458	0.034441201
97	25450	Staphylococcus_3;size=1	855	0.033595285	0.033490437
97	111828	Salmonella_5;size=5	6014	0.053779018	0.053494860
97	111828	Enterococcus_4;size=4	13300	0.118932647	0.119606589
97	111828	Staphylococcus_4;size=4	16143	0.144355618	0.145715373
97	111828	Bacillus_4_5;size=3	5865	0.052446614	0.052407473
97	111828	Bacillus_7;size=2	3684	0.032943449	0.032354825
97	111828	Escherichia_5;size=2	1786	0.015970955	0.015738787
97	111828	Listeria_2_5;size=2	9207	0.082331795	0.082763194
97	111828	Listeria_6;size=2	6604	0.059054977	0.057876999
97	111828	Bacillus_1;size=1	2012	0.017991916	0.017421939
97	111828	Bacillus_3;size=1	1930	0.017258647	0.017481012
97	111828	Bacillus_8;size=1	3760	0.033623064	0.034161582
97	111828	Bacillus_9;size=1	3368	0.030117681	0.030173660
97	111828	Escherichia_1;size=1	1167	0.010435669	0.010620732
97	111828	Escherichia_2;size=1	926	0.008280574	0.007943996
97	111828	Escherichia_4;size=1	980	0.008763458	0.008495828
97	111828	Escherichia_6;size=1	939	0.008396824	0.008443602
97	111828	Escherichia_7;size=1	1189	0.010632400	0.010053384
97	111828	Lactobacillus_1;size=1	2854	0.025521336	0.025843540
97	111828	Lactobacillus_2;size=1	2927	0.026174125	0.026139039
97	111828	Lactobacillus_3;size=1	4675	0.041805272	0.041561596
97	111828	Lactobacillus_4;size=1	4122	0.036860178	0.037088370
97	111828	Lactobacillus_5;size=1	4008	0.035840755	0.036662349
97	111828	Listeria_1;size=1	3924	0.035089602	0.034998090
97	111828	Pseudomonas_1_2_3_4;size=1	1604	0.014343456	0.014259479
97	111828	Salmonella_7;size=1	1246	0.011142111	0.010762062
97	111828	Staphylococcus_2;size=1	3889	0.034776621	0.034441201
97	111828	Staphylococcus_3;size=1	3705	0.033131237	0.033490437
98	300	Salmonella_5;size=5	12	0.040000000	0.053494860
98	300	Enterococcus_4;size=4	39	0.130000000	0.119606589
98	300	Staphylococcus_4;size=4	54	0.180000000	0.145715373
98	300	Bacillus_4_5;size=3	19	0.063333333	0.052407473
98	300	Bacillus_7;size=2	11	0.036666667	0.032354825
98	300	Escherichia_5;size=2	4	0.013333333	0.015738787
98	300	Listeria_2_5;size=2	20	0.066666667	0.082763194
98	300	Listeria_6;size=2	19	0.063333333	0.057876999
98	300	Bacillus_1;size=1	5	0.016666667	0.017421939
98	300	Bacillus_3;size=1	5	0.016666667	0.017481012
98	300	Bacillus_8;size=1	6	0.020000000	0.034161582
98	300	Bacillus_9;size=1	8	0.026666667	0.030173660
98	300	Escherichia_1;size=1	7	0.023333333	0.010620732
98	300	Escherichia_2;size=1	7	0.023333333	0.007943996
98	300	Escherichia_4;size=1	3	0.010000000	0.008495828
98	300	Escherichia_6;size=1	5	0.016666667	0.008443602
98	300	Escherichia_7;size=1	3	0.010000000	0.010053384
98	300	Lactobacillus_1;size=1	8	0.026666667	0.025843540
98	300	Lactobacillus_2;size=1	4	0.013333333	0.026139039
98	300	Lactobacillus_3;size=1	11	0.036666667	0.041561596
98	300	Lactobacillus_4;size=1	8	0.026666667	0.037088370
98	300	Lactobacillus_5;size=1	16	0.053333333	0.036662349
98	300	Listeria_1;size=1	7	0.023333333	0.034998090
98	300	Pseudomonas_1_2_3_4;size=1	5	0.016666667	0.014259479
98	300	Salmonella_7;size=1	0	0.000000000	0.010762062
98	300	Staphylococcus_2;size=1	7	0.023333333	0.034441201
98	300	Staphylococcus_3;size=1	7	0.023333333	0.033490437
98	1318	Salmonella_5;size=5	57	0.043247344	0.053494860
98	1318	Enterococcus_4;size=4	170	0.128983308	0.119606589
98	1318	Staphylococcus_4;size=4	218	0.165402124	0.145715373
98	1318	Bacillus_4_5;size=3	76	0.057663126	0.052407473
98	1318	Bacillus_7;size=2	31	0.023520486	0.032354825
98	1318	Escherichia_5;size=2	16	0.012139605	0.015738787
98	1318	Listeria_2_5;size=2	112	0.084977238	0.082763194
98	1318	Listeria_6;size=2	93	0.070561457	0.057876999
98	1318	Bacillus_1;size=1	29	0.022003035	0.017421939
98	1318	Bacillus_3;size=1	24	0.018209408	0.017481012
98	1318	Bacillus_8;size=1	40	0.030349014	0.034161582
98	1318	Bacillus_9;size=1	36	0.027314112	0.030173660
98	1318	Escherichia_1;size=1	18	0.013657056	0.010620732
98	1318	Escherichia_2;size=1	15	0.011380880	0.007943996
98	1318	Escherichia_4;size=1	12	0.009104704	0.008495828
98	1318	Escherichia_6;size=1	14	0.010622155	0.008443602
98	1318	Escherichia_7;size=1	15	0.011380880	0.010053384
98	1318	Lactobacillus_1;size=1	26	0.019726859	0.025843540
98	1318	Lactobacillus_2;size=1	31	0.023520486	0.026139039
98	1318	Lactobacillus_3;size=1	52	0.039453718	0.041561596
98	1318	Lactobacillus_4;size=1	46	0.034901366	0.037088370
98	1318	Lactobacillus_5;size=1	42	0.031866464	0.036662349
98	1318	Listeria_1;size=1	41	0.031107739	0.034998090
98	1318	Pseudomonas_1_2_3_4;size=1	19	0.014415781	0.014259479
98	1318	Salmonella_7;size=1	10	0.007587253	0.010762062
98	1318	Staphylococcus_2;size=1	41	0.031107739	0.034441201
98	1318	Staphylococcus_3;size=1	34	0.025796662	0.033490437
98	5792	Salmonella_5;size=5	310	0.053522099	0.053494860
98	5792	Enterococcus_4;size=4	683	0.117921271	0.119606589
98	5792	Staphylococcus_4;size=4	885	0.152796961	0.145715373
98	5792	Bacillus_4_5;size=3	307	0.053004144	0.052407473
98	5792	Bacillus_7;size=2	167	0.028832873	0.032354825
98	5792	Escherichia_5;size=2	77	0.013294199	0.015738787
98	5792	Listeria_2_5;size=2	484	0.083563536	0.082763194
98	5792	Listeria_6;size=2	345	0.059564917	0.057876999
98	5792	Bacillus_1;size=1	111	0.019164365	0.017421939
98	5792	Bacillus_3;size=1	94	0.016229282	0.017481012
98	5792	Bacillus_8;size=1	189	0.032631215	0.034161582
98	5792	Bacillus_9;size=1	159	0.027451657	0.030173660
98	5792	Escherichia_1;size=1	65	0.011222376	0.010620732
98	5792	Escherichia_2;size=1	59	0.010186464	0.007943996
98	5792	Escherichia_4;size=1	57	0.009841160	0.008495828
98	5792	Escherichia_6;size=1	51	0.008805249	0.008443602
98	5792	Escherichia_7;size=1	52	0.008977901	0.010053384
98	5792	Lactobacillus_1;size=1	154	0.026588398	0.025843540
98	5792	Lactobacillus_2;size=1	164	0.028314917	0.026139039
98	5792	Lactobacillus_3;size=1	251	0.043335635	0.041561596
98	5792	Lactobacillus_4;size=1	224	0.038674033	0.037088370
98	5792	Lactobacillus_5;size=1	185	0.031940608	0.036662349
98	5792	Listeria_1;size=1	200	0.034530387	0.034998090
98	5792	Pseudomonas_1_2_3_4;size=1	90	0.015538674	0.014259479
98	5792	Salmonella_7;size=1	51	0.008805249	0.010762062
98	5792	Staphylococcus_2;size=1	188	0.032458564	0.034441201
98	5792	Staphylococcus_3;size=1	190	0.032803867	0.033490437
98	25450	Salmonella_5;size=5	1358	0.053359528	0.053494860
98	25450	Enterococcus_4;size=4	3021	0.118703340	0.119606589
98	25450	Staphylococcus_4;size=4	3723	0.146286837	0.145715373
98	25450	Bacillus_4_5;size=3	1343	0.052770138	0.052407473
98	25450	Bacillus_7;size=2	806	0.031669941	0.032354825
98	25450	Escherichia_5;size=2	413	0.016227898	0.015738787
98	25450	Listeria_2_5;size=2	2057	0.080825147	0.082763194
98	25450	Listeria_6;size=2	1477	0.058035363	0.057876999
98	25450	Bacillus_1;size=1	456	0.017917485	0.017421939
98	25450	Bacillus_3;size=1	416	0.016345776	0.017481012
98	25450	Bacillus_8;size=1	847	0.033280943	0.034161582
98	25450	Bacillus_9;size=1	784	0.030805501	0.030173660
98	25450	Escherichia_1;size=1	258	0.010137525	0.010620732
98	25450	Escherichia_2;size=1	204	0.008015717	0.007943996
98	25450	Escherichia_4;size=1	218	0.008565815	0.008495828
98	25450	Escherichia_6;size=1	216	0.008487230	0.008443602
98	25450	Escherichia_7;size=1	255	0.010019646	0.010053384
98	25450	Lactobacillus_1;size=1	619	0.024322200	0.025843540
98	25450	Lactobacillus_2;size=1	708	0.027819253	0.026139039
98	25450	Lactobacillus_3;size=1	1082	0.042514735	0.041561596
98	25450	Lactobacillus_4;size=1	982	0.038585462	0.037088370
98	25450	Lactobacillus_5;size=1	931	0.036581532	0.036662349
98	25450	Listeria_1;size=1	890	0.034970530	0.034998090
98	25450	Pseudomonas_1_2_3_4;size=1	382	0.015009823	0.014259479
98	25450	Salmonella_7;size=1	283	0.011119843	0.010762062
98	25450	Staphylococcus_2;size=1	873	0.034302554	0.034441201
98	25450	Staphylococcus_3;size=1	848	0.033320236	0.033490437
98	111828	Salmonella_5;size=5	5984	0.053510749	0.053494860
98	111828	Enterococcus_4;size=4	13317	0.119084666	0.119606589
98	111828	Staphylococcus_4;size=4	16453	0.147127732	0.145715373
98	111828	Bacillus_4_5;size=3	5917	0.052911614	0.052407473
98	111828	Bacillus_7;size=2	3540	0.031655757	0.032354825
98	111828	Escherichia_5;size=2	1773	0.015854705	0.015738787
98	111828	Listeria_2_5;size=2	9303	0.083190256	0.082763194
98	111828	Listeria_6;size=2	6488	0.058017670	0.057876999
98	111828	Bacillus_1;size=1	1896	0.016954609	0.017421939
98	111828	Bacillus_3;size=1	1946	0.017401724	0.017481012
98	111828	Bacillus_8;size=1	3801	0.033989698	0.034161582
98	111828	Bacillus_9;size=1	3400	0.030403834	0.030173660
98	111828	Escherichia_1;size=1	1203	0.010757592	0.010620732
98	111828	Escherichia_2;size=1	873	0.007806632	0.007943996
98	111828	Escherichia_4;size=1	951	0.008504131	0.008495828
98	111828	Escherichia_6;size=1	974	0.008709804	0.008443602
98	111828	Escherichia_7;size=1	1135	0.010149515	0.010053384
98	111828	Lactobacillus_1;size=1	2818	0.025199413	0.025843540
98	111828	Lactobacillus_2;size=1	2918	0.026093644	0.026139039
98	111828	Lactobacillus_3;size=1	4590	0.041045177	0.041561596
98	111828	Lactobacillus_4;size=1	4122	0.036860178	0.037088370
98	111828	Lactobacillus_5;size=1	4065	0.036350467	0.036662349
98	111828	Listeria_1;size=1	3858	0.034499410	0.034998090
98	111828	Pseudomonas_1_2_3_4;size=1	1677	0.014996244	0.014259479
98	111828	Salmonella_7;size=1	1198	0.010712880	0.010762062
98	111828	Staphylococcus_2;size=1	3821	0.034168545	0.034441201
98	111828	Staphylococcus_3;size=1	3807	0.034043352	0.033490437
99	300	Salmonella_5;size=5	14	0.046666667	0.053494860
99	300	Enterococcus_4;size=4	35	0.116666667	0.119606589
99	300	Staphylococcus_4;size=4	35	0.116666667	0.145715373
99	300	Bacillus_4_5;size=3	16	0.053333333	0.052407473
99	300	Bacillus_7;size=2	4	0.013333333	0.032354825
99	300	Escherichia_5;size=2	6	0.020000000	0.015738787
99	300	Listeria_2_5;size=2	29	0.096666667	0.082763194
99	300	Listeria_6;size=2	19	0.063333333	0.057876999
99	300	Bacillus_1;size=1	6	0.020000000	0.017421939
99	300	Bacillus_3;size=1	3	0.010000000	0.017481012
99	300	Bacillus_8;size=1	13	0.043333333	0.034161582
99	300	Bacillus_9;size=1	6	0.020000000	0.030173660
99	300	Escherichia_1;size=1	5	0.016666667	0.010620732
99	300	Escherichia_2;size=1	2	0.006666667	0.007943996
99	300	Escherichia_4;size=1	2	0.006666667	0.008495828
99	300	Escherichia_6;size=1	3	0.010000000	0.008443602
99	300	Escherichia_7;size=1	9	0.030000000	0.010053384
99	300	Lactobacillus_1;size=1	7	0.023333333	0.025843540
99	300	Lactobacillus_2;size=1	8	0.026666667	0.026139039
99	300	Lactobacillus_3;size=1	10	0.033333333	0.041561596
99	300	Lactobacillus_4;size=1	18	0.060000000	0.037088370
99	300	Lactobacillus_5;size=1	4	0.013333333	0.036662349
99	300	Listeria_1;size=1	14	0.046666667	0.034998090
99	300	Pseudomonas_1_2_3_4;size=1	8	0.026666667	0.014259479
99	300	Salmonella_7;size=1	4	0.013333333	0.010762062
99	300	Staphylococcus_2;size=1	10	0.033333333	0.034441201
99	300	Staphylococcus_3;size=1	10	0.033333333	0.033490437
99	1318	Salmonella_5;size=5	60	0.045523520	0.053494860
99	1318	Enterococcus_4;size=4	164	0.124430956	0.119606589
99	1318	Staphylococcus_4;size=4	182	0.138088012	0.145715373
